what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466212565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466214167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466216728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466239124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466242340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466246728
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466251370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466253094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466259762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470466261140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1470466268530
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466269706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466278479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466290292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466294358
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1470466314501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466319680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466337123
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470466341120
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1470466413501
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470466426675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1470466441011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1470466449468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1470466463904
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1470466466767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466469113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470466481877
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470466482029
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470466482140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470466487284
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1470466521261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1470466635089
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1470466635179
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470466637173
