what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104304107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104305087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104311820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104317472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104320163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104334271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104335018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104336359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104351453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104353385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1472104390242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104423770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104427979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1472104440685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104456034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104457949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104458906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104463797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104477987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104480821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104487943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104490442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104490845
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1472104491042
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1472104491050
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1472104509358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104509402
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1472104509473
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1472104509502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104509983
error,log,,,"Publishing the configuration...",1472104509998
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1472104510221
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1472104510628
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1472104512880
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472104513979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104514016
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472104514039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104515819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472104515911
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1472104518641
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472104521509
