what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1472126556655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126613667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126641623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1472126647590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126649930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126650056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1472126652854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126654882
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126668310
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472126669779
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1472126672431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126675787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126686521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1472126690717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1472126692496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126697741
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126702523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1472126705925
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1472126708548
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1472126710623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1472126711029
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1472126711653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1472126718088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1472126721677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1472126724688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1472126726809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126733550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126738237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1472126751395
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472126757216
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1472126757731
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472126758869
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1472126759353
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472126760788
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1472126763362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126764470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126765937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126766109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126767484
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1472126767562
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1472126768078
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1472126769018
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1472126769111
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1472126769158
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1472126769720
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1472126771407
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472126771517
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472126771532
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472126773167
error,log,,,"Several ports (9005, 9090, 9009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1472126803856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126803934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472126807741
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1472126810129
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1472126849540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472127322622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472127538633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472127539263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472127686204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472127704063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472182672784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472182676498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472182737347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472189872434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472189880526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472189883349
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1472189886780
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472189894757
stopped,bundle,Java5Migration,1.0.0,"Java5Migration",1472189903025
stopped,bundle,LapsePlus,2.8.1,"LapsePlus",1472189903179
stopped,bundle,MigrationTool,1.0.0.200911201404,"MigrationTool",1472189903418
stopped,bundle,Other_Tools,1.0.0.200911201403,"Other_Tools",1472189903773
stopped,bundle,QualityTools,1.0.0.200911201403,"QualityTools",1472189903928
stopped,bundle,Server_Support,1.0.0.200911201402,"Server_Support",1472189904209
stopped,bundle,Testing,1.0.0.200911201402,"Testing",1472189904327
stopped,bundle,UML,1.0.0.200911201402,"UML",1472189904457
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1472202638645
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1472202638645
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1472202638645
started,bundle,com.cognizant.sdeusage.eclipse,2.0,"com.cognizant.sdeusage.eclipse",1472202638645
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1472202638645
started,bundle,edu.hawaii.ics.csdl.jupiter,3.6.0,"edu.hawaii.ics.csdl.jupiter",1472202638645
started,bundle,net.sf.eclipsecs.core,5.3.0.201012121300,"net.sf.eclipsecs.core",1472202638645
started,bundle,net.sf.eclipsecs.ui,5.3.0.201012121300,"net.sf.eclipsecs.ui",1472202638661
started,bundle,org.dcarew.hudson,1.2.6,"org.dcarew.hudson",1472202638661
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1472202638661
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1472202638661
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1472202638661
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1472202638661
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1472202638661
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1472202638677
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1472202638677
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1472202638677
