what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1472202643481
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1472202643497
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1472202643544
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1472202643653
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1472202643653
started,bundle,de.anbos.eclipse.logviewer.plugin,0.9.8.7,"de.anbos.eclipse.logviewer.plugin",1472202644807
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.103.v201101271715,"org.eclipse.wst.common.project.facet.ui",1472202648099
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1472202648099
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1472202648099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472202648442
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1472202648520
started,bundle,org.eclipse.jpt.core,2.3.3.v201102172310,"org.eclipse.jpt.core",1472202666979
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1472202667665
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1472202667697
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1472202667759
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1472202667775
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1472202667853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472202668633
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1472202669038
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1472202669350
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1472202669615
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1472202670473
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1472202670489
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1472202673609
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1472202673625
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1472202673781
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1472202673781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472202678757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472202688445
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.303.v201012160047,"org.eclipse.wst.jsdt.web.support.jsp",1472202688569
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472202688679
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472202688757
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1472202691723
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472202754049
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1472202758451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1472202765595
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1472202825196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472202828877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472202829766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472202830080
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1472202830205
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1472202830221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472202832717
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1472202832904
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1472202832951
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1472202835681
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472202836524
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472202836571
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1472202837872
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472202843554
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472202870314
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472202871984
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472204002966
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472204004651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472204032706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472204215164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1472204235618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1472204422136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1472204441733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472205910585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472205942944
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1472205961614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472205964222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472205971496
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472205971578
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472205971625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472205973844
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472205977648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472205985109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206014118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206015895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206031487
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472206033370
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472206042417
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472206043420
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472206045124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206046252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206047544
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472206047788
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472206047830
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472206048790
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472206051065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206055174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206056599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206071313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206072469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206075004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206075808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206076951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206077882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206091729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206094889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206099609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206100729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206103825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206105161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206106425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206123018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206127506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206129026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206137417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206142018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1472206146542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1472206150966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206153075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206155203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206159395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206160580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206164491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206168732
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206175133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206176442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206178284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206196996
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472206198296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1472206210572
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472206228189
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472206229163
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1472206234254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1472206235815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206236803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206251349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206256734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206258816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206261095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472206262600
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1472206265155
