what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003391276
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471003393479
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471003394082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1471003406342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471003422082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003427226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003434352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471003435868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003445738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003445957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003457946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003466183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471003468474
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1471003482637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003495349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003502169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003536173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003539865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471003545723
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471003567187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471003575699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471003578334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471003578598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471003578860
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1471003601588
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471003603352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003605197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003607780
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471003607959
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471003607961
activated,view,EBoxPlugin,1.1.0.201501280346,"com.amphisoft.ebox.eclipse.plugin.views.EboxView",1471003613269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003686482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003691167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003702229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003790811
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1471003795404
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471003807626
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1471003810657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471003814777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004015207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004024564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004072463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004108970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004112489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004116750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004120891
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004126648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471004128426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004133388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004134282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004136702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004140752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004141973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004144288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1471004149569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471004151070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004153570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004161989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004167021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004168931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004175475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471004177457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004194577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004205802
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004209120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004225153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004244151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004255354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004273205
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004286044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004331614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004332712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004333735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004359760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471004362407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004388555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004397154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1471004414024
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1471004419825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1471004420146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1471004421631
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1471004422332
