what,kind,bundleId,bundleVersion,description,time
started,bundle,org.vssplugin,1.6.2,"org.vssplugin",1473229072367
os,sysinfo,,,"win32",1473229072371
arch,sysinfo,,,"x86",1473229072371
ws,sysinfo,,,"win32",1473229072371
locale,sysinfo,,,"en_US",1473229072371
processors,sysinfo,,,"2",1473229072371
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1473229072371
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1473229072371
java.specification.name,sysinfo,,,"Java Platform API Specification",1473229072371
java.specification.vendor,sysinfo,,,"Oracle Corporation",1473229072371
java.specification.version,sysinfo,,,"1.8",1473229072371
java.vendor,sysinfo,,,"Oracle Corporation",1473229072371
java.version,sysinfo,,,"1.8.0_102",1473229072371
java.vm.info,sysinfo,,,"mixed mode",1473229072371
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1473229072371
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1473229072371
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1473229072371
java.vm.specification.version,sysinfo,,,"1.8",1473229072371
java.vm.vendor,sysinfo,,,"Oracle Corporation",1473229072371
java.vm.version,sysinfo,,,"25.102-b14",1473229072371
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1473229073870
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1473229073962
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1473229074012
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1473229074025
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1473229074050
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1473229074119
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1473229074264
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1473229074440
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1473229074467
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1473229074788
