what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907518216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907557447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907572546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907583777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907584796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907587243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907596308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907600657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907605595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907622370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907641969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907650059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907650122
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907650421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907654562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907658052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907668943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907670381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907688801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907689932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907690241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907759800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907774699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907778446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1470907793603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1470907824605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470907827333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907852402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470907956352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1470908005130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908020534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908023755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908034504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908047126
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1470908052862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908060725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908062757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1470908088601
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908098057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908112567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908134035
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908135324
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470908141811
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470908144829
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1470908152199
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908160496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908181721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908262188
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1470908262281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908266063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1470908286313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1470908290263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470908293063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908304079
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1470908304246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908306027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1470908334390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1470908334661
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1470908335003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1470908335380
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1470908335747
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1470908336060
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1470908350946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1470908352855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908381641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908382596
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470908384164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908386809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908396089
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470908401072
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470908406850
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470908409277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908437732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908438776
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470908439861
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470908443297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908452717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908453746
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470908454835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908458569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470908470783
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1470908474433
